"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,         141,      -10.48752894,      -10.60971393,      -10.96293193,      -9.786052024,     0.03515774674,      0.6575889741,                 0,                 0,     0.02252879379
          0,           0,         142,      -10.48712236,      -10.61925195,      -10.96948251,      -9.777582934,     0.03515774643,      0.6575889697,                 0,                 0,     0.02252879276
          0,           0,         143,      -10.50705835,       -10.6389858,      -10.98561695,      -9.805897616,      0.0351577462,      0.6575889668,                 0,                 0,     0.02252879196
          0,           0,         144,      -10.52350553,        -10.660092,      -11.02521065,      -9.820176742,      0.0351577459,      0.6575889628,                 0,                 0,     0.02252879093
          0,           0,         145,      -10.53987733,      -10.67643979,      -11.04705027,      -9.828990524,      0.0351577456,      0.6575889587,                 0,                 0,      0.0225287899
          0,           0,         146,      -10.55928891,      -10.69474778,      -11.06345641,      -9.845323663,     0.03515774539,      0.6575889561,                 0,                 0,     0.02252878921
          0,           0,         147,      -10.58378757,      -10.71700367,      -11.09505645,      -9.868766981,     0.03515774518,      0.6575889533,                 0,                 0,     0.02252878854
          0,           0,         148,       -10.6162884,      -10.74206272,      -11.12960102,      -9.900262619,     0.03515774495,      0.6575889501,                 0,                 0,     0.02252878777
          0,           0,         149,      -10.64454388,      -10.76748861,      -11.15712231,      -9.925814478,     0.03515774483,      0.6575889486,                 0,                 0,     0.02252878743
          0,           0,         150,      -10.69245615,      -10.80261667,      -11.20246253,      -9.983272881,     0.03515774473,      0.6575889472,                 0,                 0,      0.0225287871
          0,           0,         151,      -10.73854215,      -10.84052302,      -11.26251074,      -10.02966468,     0.03515774459,      0.6575889454,                 0,                 0,     0.02252878666
          0,           0,         152,       -10.7813054,      -10.87821648,      -11.30730376,      -10.06676933,     0.03515774447,      0.6575889438,                 0,                 0,     0.02252878625
          0,           0,         153,      -10.81921874,      -10.91564031,      -11.34300691,      -10.09963531,     0.03515774441,       0.657588943,                 0,                 0,     0.02252878608
          0,           0,         154,      -10.87497345,       -10.9582392,      -11.38959422,      -10.16344017,     0.03515774434,      0.6575889421,                 0,                 0,     0.02252878588
          0,           0,         155,      -10.92767683,      -11.00424912,      -11.45038486,      -10.21655742,     0.03515774428,      0.6575889413,                 0,                 0,     0.02252878569
          0,           0,         156,      -10.97762635,      -11.05114515,      -11.50439927,      -10.26139736,     0.03515774422,      0.6575889404,                 0,                 0,     0.02252878549
          0,           0,         157,      -11.02591035,      -11.09860577,      -11.54807139,      -10.30475377,     0.03515774418,      0.6575889399,                 0,                 0,     0.02252878539
          0,           0,         158,      -11.08811413,      -11.14814585,      -11.59896819,      -10.37434361,     0.03515774415,      0.6575889395,                 0,                 0,      0.0225287853
          0,           0,         159,      -11.14844853,      -11.20246314,      -11.66873471,      -10.43526072,     0.03515774412,      0.6575889391,                 0,                 0,     0.02252878521
