|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         192|  2.3686e-01|   -7.439280|   -9.457616|    0.607694|    0.012500|    0.016293|
|         193|  2.3672e-01|   -7.439950|   -9.444468|    0.607571|    0.012478|    0.016255|
|         194|  2.3693e-01|   -7.440735|   -9.431349|    0.607494|    0.012462|    0.016234|
|         195|  2.3684e-01|   -7.441494|   -9.418286|    0.607472|    0.012453|    0.016231|
|         196|  2.3677e-01|   -7.442044|   -9.405298|    0.607506|    0.012451|    0.016245|
|         197|  2.3672e-01|   -7.442220|   -9.392387|    0.607596|    0.012454|    0.016274|
|         198|  2.3661e-01|   -7.441932|   -9.379564|    0.607737|    0.012463|    0.016315|
|         199|  2.3650e-01|   -7.441190|   -9.366857|    0.607923|    0.012476|    0.016364|
|         200|  2.3645e-01|   -7.440107|   -9.354274|    0.608141|    0.012491|    0.016416|
|         201|  2.3639e-01|   -7.438864|   -9.341806|    0.608380|    0.012507|    0.016468|
|         202|  2.3630e-01|   -7.437675|   -9.329448|    0.608628|    0.012522|    0.016516|
|         203|  2.3625e-01|   -7.436730|   -9.317227|    0.608869|    0.012535|    0.016556|
|         204|  2.3624e-01|   -7.436166|   -9.305155|    0.609093|    0.012545|    0.016585|
|         205|  2.3610e-01|   -7.436044|   -9.293221|    0.609288|    0.012551|    0.016600|
|         206|  2.3608e-01|   -7.436336|   -9.281427|    0.609445|    0.012552|    0.016600|
|         207|  2.3600e-01|   -7.436946|   -9.269783|    0.609556|    0.012547|    0.016584|
|         208|  2.3607e-01|   -7.437726|   -9.258253|    0.609618|    0.012537|    0.016552|
|         209|  2.3604e-01|   -7.438509|   -9.246866|    0.609629|    0.012521|    0.016505|
|         210|  2.3604e-01|   -7.439147|   -9.235628|    0.609587|    0.012501|    0.016443|
|         211|  2.3614e-01|   -7.439531|   -9.224528|    0.609497|    0.012476|    0.016370|
|         212|  2.3636e-01|   -7.439619|   -9.213574|    0.609362|    0.012447|    0.016286|
|         213|  2.3630e-01|   -7.439433|   -9.202785|    0.609188|    0.012416|    0.016195|
|         214|  2.3629e-01|   -7.439058|   -9.192159|    0.608983|    0.012383|    0.016100|
|         215|  2.3628e-01|   -7.438616|   -9.181686|    0.608756|    0.012349|    0.016002|
|         216|  2.3643e-01|   -7.438248|   -9.171360|    0.608514|    0.012316|    0.015904|
|         217|  2.3655e-01|   -7.438086|   -9.161164|    0.608268|    0.012284|    0.015810|
|         218|  2.3654e-01|   -7.438237|   -9.151131|    0.608025|    0.012254|    0.015720|
|         219|  2.3657e-01|   -7.438770|   -9.141263|    0.607793|    0.012227|    0.015637|
|         220|  2.3671e-01|   -7.439712|   -9.131558|    0.607576|    0.012202|    0.015562|
|         221|  2.3682e-01|   -7.441055|   -9.122007|    0.607378|    0.012181|    0.015494|
|         222|  2.3678e-01|   -7.442761|   -9.112606|    0.607203|    0.012163|    0.015433|
