"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         149,      -6.559007139,      -7.141143012,      -7.012522382,      -6.005491951
          0,           0,         150,      -6.578677092,      -7.149920351,      -7.034549163,      -6.025223856
          0,           0,         151,      -6.598546421,      -7.157767843,      -7.058107049,       -6.04518698
          0,           0,         152,      -6.618563966,      -7.165110195,      -7.082694961,      -6.065301418
          0,           0,         153,      -6.638726971,      -7.172340955,      -7.108141141,      -6.085545798
          0,           0,         154,      -6.659076331,      -7.179896197,      -7.134284573,      -6.105950574
          0,           0,         155,      -6.679628892,      -7.188190502,       -7.16107661,      -6.126520861
          0,           0,         156,      -6.700371728,      -7.197561045,      -7.188375867,      -6.147245302
          0,           0,         157,       -6.72120293,      -7.208261262,      -7.215739043,      -6.168039146
          0,           0,         158,      -6.742075747,      -7.220488288,      -7.242718936,      -6.188881507
          0,           0,         159,      -6.763014112,      -7.234360295,      -7.269074616,      -6.209815625
          0,           0,         160,      -6.784019843,      -7.249953216,      -7.294630282,      -6.230849016
          0,           0,         161,      -6.805092403,      -7.267323302,      -7.319023429,      -6.251985761
          0,           0,         162,      -6.826221516,      -7.286494621,      -7.341964515,      -6.273213379
          0,           0,         163,      -6.847441785,      -7.307471189,      -7.363514818,      -6.294553957
          0,           0,         164,      -6.868815458,      -7.330234643,      -7.383545333,      -6.316051386
          0,           0,         165,      -6.890361316,      -7.354703685,      -7.401721355,      -6.337697549
          0,           0,         166,      -6.912134664,      -7.380759465,      -7.417768795,      -6.359519146
          0,           0,         167,      -6.934203321,      -7.408269926,       -7.43184885,      -6.381569377
          0,           0,         168,      -6.956520814,      -7.437046782,      -7.444120198,      -6.403782947
          0,           0,         169,      -6.979134295,      -7.466818903,      -7.455022604,      -6.426200365
          0,           0,         170,      -7.001923404,      -7.497348146,      -7.465093626,      -6.448702093
          0,           0,         171,      -7.024755821,      -7.528458809,      -7.475026118,      -6.471182119
          0,           0,         172,      -7.047507645,      -7.559857605,      -7.485380445,      -6.493546319
          0,           0,         173,      -7.070031287,      -7.591208442,      -7.496744718,      -6.515679615
          0,           0,         174,      -7.092164316,      -7.622161663,      -7.509539928,      -6.537455592
          0,           0,         175,      -7.113662077,      -7.652356485,      -7.524046146,      -6.558660155
          0,           0,         176,       -7.13440214,      -7.681436992,      -7.540299542,      -6.579211058
          0,           0,         177,      -7.154286761,      -7.709031985,      -7.558427595,      -6.599028195
          0,           0,         178,      -7.173277961,      -7.734811621,      -7.578599564,      -6.618075924
