"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         175,        -4.5309116,      -1.781160082,      -1.512367273,      -1.505456463,      0.9378193299
          0,           0,         176,      -4.544696359,      -1.817155524,      -1.523407766,      -1.517537525,       0.922865772
          0,           0,         177,      -4.555065157,      -1.844032993,      -1.534583171,      -1.529838896,      0.9117794084
          0,           0,         178,      -4.561871731,      -1.858713008,      -1.545768579,      -1.542188574,      0.9047979122
          0,           0,         179,      -4.565330344,      -1.860447144,      -1.556849669,      -1.554425416,      0.9017186717
          0,           0,         180,      -4.565984006,      -1.851217541,       -1.56773405,      -1.566412585,      0.9019309083
          0,           0,         181,       -4.56459854,       -1.83466358,      -1.578353342,      -1.578040726,      0.9045471506
          0,           0,         182,      -4.562032199,      -1.814543111,      -1.588661476,      -1.589227236,      0.9085693389
          0,           0,         183,      -4.559122429,      -1.793803743,      -1.598638303,      -1.599916473,      0.9130304328
          0,           0,         184,      -4.556601863,      -1.774405243,      -1.608290948,      -1.610083497,          0.917094
          0,           0,         185,      -4.555071939,      -1.757510748,      -1.617654913,      -1.619734301,      0.9200844918
          0,           0,         186,      -4.554994175,      -1.743745866,      -1.626788547,      -1.628902795,      0.9214916908
          0,           0,         187,      -4.556699908,      -1.733403223,      -1.635765216,      -1.637647895,      0.9209545055
          0,           0,         188,      -4.560409542,      -1.726586376,       -1.64466936,      -1.646047217,      0.9182349001
          0,           0,         189,      -4.566248933,      -1.723295305,      -1.653585489,      -1.654190836,      0.9131962462
          0,           0,         190,       -4.57425901,       -1.72347548,      -1.662590622,      -1.662173244,      0.9057895083
          0,           0,         191,      -4.584407029,      -1.727049618,       -1.67174755,      -1.670086273,      0.8960402461
          0,           0,         192,      -4.596582917,      -1.733921393,      -1.681099593,      -1.678012079,      0.8840507096
          0,           0,         193,      -4.610597132,      -1.743983265,      -1.690663076,      -1.686018063,      0.8700022212
          0,           0,         194,        -4.6261657,      -1.757104518,      -1.700425578,      -1.694152473,      0.8541717586
          0,           0,         195,      -4.642907218,      -1.773115605,      -1.710346476,      -1.702440878,      0.8369385977
          0,           0,         196,      -4.660315795,      -1.791786609,      -1.720354914,      -1.710886392,      0.8188144845
          0,           0,         197,      -4.677792898,      -1.812781356,      -1.730354424,      -1.719471176,      0.8004226961
          0,           0,         198,      -4.694647806,        -1.8356125,      -1.740228097,      -1.728157118,      0.7825021352
          0,           0,         199,      -4.710164405,      -1.859585134,      -1.749847022,      -1.736889125,      0.7658463835
          0,           0,         200,      -4.723681932,       -1.88374309,      -1.759079175,       -1.74559603,      0.7512200306
          0,           0,         201,      -4.734680585,       -1.90685013,      -1.767795693,      -1.754189143,      0.7392599456
          0,           0,         202,      -4.742856879,      -1.927442862,      -1.775876944,      -1.762562332,      0.7303774225
          0,           0,         203,      -4.748156516,      -1.943989114,      -1.783225095,      -1.770595567,      0.7247015569
          0,           0,         204,       -4.75078273,      -1.955179875,      -1.789779917,      -1.778176711,      0.7220549416
          0,           0,         205,      -4.751176081,      -1.960265605,      -1.795537714,      -1.785227907,      0.7219717885
          0,           0,         206,      -4.749944325,      -1.959289932,      -1.800559682,      -1.791724911,      0.7237804409
          0,           0,         207,      -4.747757347,      -1.953075027,      -1.804960001,      -1.797697747,      0.7267278326
          0,           0,         208,      -4.745250949,      -1.942956881,      -1.808888238,      -1.803214866,      0.7300942872
          0,           0,         209,      -4.742972184,      -1.930430412,      -1.812515389,      -1.808373581,      0.7332602315
          0,           0,         210,      -4.741357372,      -1.916875101,      -1.816021643,      -1.813290565,       0.735732414
          0,           0,         211,      -4.740733295,      -1.903417781,      -1.819586727,      -1.818095011,      0.7371432753
          0,           0,         212,      -4.741328553,      -1.890904956,      -1.823381534,      -1.822919447,       0.737237296
          0,           0,         213,      -4.743285244,      -1.879925846,      -1.827555087,      -1.827887667,      0.7358557971
          0,           0,         214,      -4.746672696,      -1.870857538,      -1.832228937,      -1.833108322,      0.7329197962
          0,           0,         215,      -4.751505738,      -1.863919215,      -1.837495503,      -1.838671232,       0.728409979
          0,           0,         216,      -4.757755302,      -1.859219808,      -1.843419141,      -1.844646196,      0.7223536464
          0,           0,         217,      -4.765364759,      -1.856794783,      -1.850038201,      -1.851083702,      0.7148080712
          0,           0,         218,      -4.774239342,       -1.85663201,      -1.857366361,      -1.858014774,      0.7058696889
          0,           0,         219,       -4.78425801,      -1.858688833,      -1.865396632,       -1.86545328,      0.6956626196
          0,           0,         220,      -4.795270478,      -1.862897522,       -1.87410198,      -1.873397762,      0.6843418736
