+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         277|  2.7594e-01|   -6.882683|   -8.140375|    1.412700|    0.145832|    0.048946|
|         278|  2.7586e-01|   -6.879145|   -8.149962|    1.412321|    0.146311|    0.049536|
|         279|  2.7577e-01|   -6.875754|   -8.159409|    1.411917|    0.146789|    0.050128|
|         280|  2.7571e-01|   -6.872528|   -8.168729|    1.411491|    0.147267|    0.050721|
|         281|  2.7583e-01|   -6.869488|   -8.177782|    1.411045|    0.147747|    0.051317|
|         282|  2.7583e-01|   -6.866650|   -8.186524|    1.410584|    0.148229|    0.051916|
|         283|  2.7579e-01|   -6.864029|   -8.194938|    1.410109|    0.148715|    0.052519|
|         284|  2.7590e-01|   -6.861635|   -8.202857|    1.409626|    0.149207|    0.053127|
|         285|  2.7586e-01|   -6.859469|   -8.210358|    1.409136|    0.149705|    0.053740|
|         286|  2.7577e-01|   -6.857527|   -8.217230|    1.408644|    0.150211|    0.054359|
|         287|  2.7573e-01|   -6.855799|   -8.223506|    1.408152|    0.150724|    0.054984|
|         288|  2.7560e-01|   -6.854265|   -8.229068|    1.407661|    0.151246|    0.055615|
|         289|  2.7550e-01|   -6.852899|   -8.233796|    1.407173|    0.151775|    0.056252|
