"Pressure","Points:0","Points:1","Points:2"
0.75543,0.21849,0.26696,0.025492
0.76293,0.23293,0.26727,0.027046
0.76212,0.2488,0.26756,0.028522
0.76165,0.26607,0.26784,0.029898
0.76254,0.28467,0.2681,0.031161
0.7629,0.30452,0.26833,0.032298
0.76112,0.32552,0.26855,0.033299
0.75646,0.34757,0.26873,0.034148
0.74898,0.37054,0.26889,0.034823
0.73902,0.3943,0.26901,0.035294
0.72699,0.41871,0.26908,0.035529
0.71327,0.44362,0.2691,0.035494
0.6977,0.46888,0.26906,0.035163
0.68205,0.49433,0.26896,0.034523
0.67388,0.51981,0.2688,0.033581
0.68875,0.54518,0.26858,0.032358
0.73969,0.57029,0.26832,0.030895
0.81518,0.595,0.26801,0.02924
0.87703,0.61918,0.26767,0.02745
0.91181,0.64271,0.26731,0.025573
0.93242,0.66547,0.26694,0.023654
0.94787,0.68737,0.26656,0.021723
0.96255,0.70831,0.26618,0.019801
0.97735,0.72821,0.26581,0.017899
0.99175,0.74703,0.26543,0.016024
1.0057,0.76472,0.26506,0.014179
1.0195,0.78126,0.2647,0.01237
1.033,0.79667,0.26434,0.010607
1.046,0.81097,0.264,0.0088997
1.0583,0.82424,0.26366,0.0072575
1.07,0.83656,0.26334,0.0056887
1.0804,0.84806,0.26304,0.0041969
1.0904,0.85889,0.26274,0.0027709
1.0979,0.86923,0.26246,0.0013837
1.1118,0.87932,0.26217,0
0.93386,0.39031,0.39668,-0.03157
0.94353,0.37034,0.39636,-0.030622
0.95281,0.35146,0.39601,-0.029546
0.96209,0.33375,0.39563,-0.02835
0.97187,0.3173,0.39522,-0.027047
0.98237,0.30216,0.39479,-0.025649
0.99346,0.28838,0.39434,-0.024177
1.0047,0.27597,0.39388,-0.02266
1.0101,0.26493,0.39342,-0.021132
0.99909,0.25524,0.39297,-0.019627
0.99237,0.24685,0.39248,-0.017993
1.0364,0.23974,0.39187,-0.015902
1.1389,0.23391,0.39109,-0.013232
1.2647,0.22938,0.39019,-0.01014
1.3741,0.22604,0.38923,-0.0068407
1.4334,0.22381,0.38825,-0.0034471
1.4085,0.22267,0.38725,0
1.2898,0.22381,0.38825,0.0034471
1.1172,0.22604,0.38923,0.0068407
0.92922,0.22938,0.39019,0.01014
0.74415,0.23391,0.39109,0.013232
0.59236,0.23974,0.39187,0.015902
0.50556,0.24685,0.39248,0.017993
0.49261,0.25524,0.39297,0.019627
0.53903,0.26493,0.39342,0.021132
0.62259,0.27597,0.39388,0.02266
0.69729,0.28838,0.39434,0.024177
0.73089,0.30216,0.39479,0.025649
0.73822,0.3173,0.39522,0.027047
0.73681,0.33375,0.39563,0.02835
0.73552,0.35146,0.39601,0.029546
0.73574,0.37034,0.39636,0.030622
0.73564,0.39031,0.39668,0.03157
0.73329,0.41126,0.39695,0.032373
0.72777,0.43308,0.39718,0.033012
0.71897,0.45563,0.39736,0.033458
0.70699,0.47879,0.39746,0.03368
0.6919,0.50241,0.39749,0.033646
0.67484,0.52634,0.39743,0.033333
0.66307,0.55045,0.39729,0.032728
0.67532,0.57457,0.39705,0.031835
0.73144,0.59857,0.39673,0.030678
0.81749,0.62232,0.39633,0.029292
0.88218,0.64568,0.39587,0.027725
0.91339,0.66854,0.39537,0.02603
0.93034,0.69078,0.39484,0.024252
0.94478,0.71229,0.39429,0.022434
0.95927,0.73299,0.39373,0.020605
0.97357,0.75278,0.39318,0.018783
0.98732,0.77159,0.39262,0.01698
1.0006,0.78938,0.39207,0.015202
1.0136,0.80609,0.39152,0.013453
1.0266,0.82173,0.39098,0.011738
1.0393,0.83629,0.39046,0.010066
1.0516,0.84981,0.38995,0.0084463
1.0633,0.86235,0.38945,0.0068883
1.0743,0.87399,0.38898,0.0053997
1.0842,0.88486,0.38853,0.0039839
1.0938,0.89509,0.3881,0.0026304
1.1008,0.90487,0.38768,0.0013137
1.1143,0.9144,0.38725,0
0.92943,0.45168,0.51805,-0.029931
0.93899,0.43269,0.51764,-0.029034
0.94823,0.41472,0.51718,-0.028015
0.95757,0.39786,0.51668,-0.026883
