Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
209,1.19929,246741,0,-74.8402,2.45762e-09,74.8402,0.0254641,10.0856,0.496907,-2.19757,10.3342,-0.0123735,5.42101e-20,0.285868,0.286136,98678.6,-0.0485102,286.635,8.40933,0.414875,-1.83264,8.6167
210,1.19579,246021,0,-80.1828,2.45762e-09,80.1828,0.0308927,11.2853,5.16486,-1.60287,12.5141,-0.0125516,5.42101e-20,0.306276,0.306533,98382.3,-0.053943,286.61,9.43732,4.31944,-1.34049,10.4651
211,1.19245,245205,0,-85.5254,2.45762e-09,85.5254,0.0368585,12.3019,8.16178,-1.85343,14.8791,-0.0127297,5.42101e-20,0.326683,0.326931,98044.7,-0.0601306,286.428,10.3162,6.84499,-1.55446,12.4778
212,1.19153,244677,0,-90.8681,2.45762e-09,90.8681,0.039695,13.1054,9.11889,-1.20728,16.0113,-0.0129077,5.42101e-20,0.347091,0.34733,97827.5,-0.0641127,286.012,10.9985,7.65334,-1.0133,13.4375
213,1.18937,243882,0,-96.2107,2.45762e-09,96.2107,0.0453163,14.0626,11.5439,-1.20754,18.234,-0.0130858,5.42101e-20,0.367498,0.367731,97496.9,-0.0701731,285.563,11.8235,9.70593,-1.01529,15.3307
214,1.18758,243367,0,-101.553,2.45762e-09,101.553,0.0531206,15.136,15.0049,-1.05516,21.3392,-0.0132639,5.42101e-20,0.387905,0.388132,97270.1,-0.0743312,285.329,12.7452,12.6349,-0.888503,17.9686
215,1.18307,242399,0,-106.896,2.45762e-09,106.896,0.0586493,16.0246,17.1464,-0.447564,23.4731,-0.013442,5.42101e-20,0.408313,0.408534,96866.3,-0.0817326,285.227,13.5448,14.4932,-0.378327,19.8408
216,1.17814,241309,0,-112.239,2.45762e-09,112.239,0.0638817,16.8787,19.0419,-0.446116,25.4496,-0.0136201,5.42101e-20,0.42872,0.428936,96413.6,-0.0900309,285.083,14.326,16.1632,-0.378725,21.6016
217,1.17348,240245,0,-117.581,2.45762e-09,117.581,0.0675712,17.6448,20.1847,-0.00394595,26.8097,-0.0137982,5.42101e-20,0.449127,0.449339,95975.5,-0.0980619,284.914,15.0354,17.2014,-0.00357768,22.8463
218,1.19626,247680,0,-37.4668,2.46383e-09,37.4668,0.0881121,-2.01894,-35.4835,-0.00970016,35.5409,-0.000127735,2.1684e-19,0.143113,0.143113,98857.2,-0.0452364,287.88,-1.74175,-29.6589,-0.0152,29.71
219,1.21478,251503,0,-37.4591,1.10468e-08,37.4591,0.0909029,4.13642,-37.2581,0.0336457,37.487,-0.00348875,0,0.143083,0.143126,100369,-0.0175331,287.827,3.39942,-30.6674,0.0296663,30.8552
220,1.19166,246783,0,-37.4804,-1.44251e-08,37.4804,0.0907975,-6.47963,-33.6486,-8.10953,35.2133,0.0058319,0,0.143165,0.143283,98485.4,-0.0520536,287.906,-5.44357,-28.2624,-6.67131,29.545
221,1.21145,250809,0,-37.4557,-4.14859e-09,37.4557,0.0895661,0.93347,-36.7746,0.00964043,36.7865,-0.00497203,0,0.14307,0.143157,100099,-0.0224797,287.841,0.767076,-30.3571,0.00669418,30.3668
222,1.20648,249781,0,-37.4447,1.37339e-09,37.4447,0.0843056,0.320478,-34.3099,3.96119,34.5393,-0.00980146,0,0.143028,0.143364,99713.7,-0.0295358,287.915,0.263362,-28.4362,3.28674,28.6267
223,1.17999,244339,0,-37.4757,-1.10865e-08,37.4757,0.085972,-5.90545,-33.9462,-0.0503353,34.4561,0.00375289,0,0.143147,0.143196,97533.2,-0.069507,287.943,-5.00617,-28.7697,-0.0436882,29.2021
