Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
3405,1.25475,262727,0,101.616,-31.1371,106.279,0.111113,0.599244,46.5233,-9.13235,47.4149,0.0140011,-0.118935,-0.388143,0.406198,104712,0.0620779,290.723,0.476639,37.2001,-7.26674,37.9062
3406,1.25484,262405,0,106.958,-31.0241,111.367,0.0917586,0.678734,37.9165,-10.4558,39.3376,0.0138214,-0.118503,-0.408551,0.425614,104712,0.0620779,290.694,0.540763,30.2263,-8.33323,31.3586
3407,1.25374,262508,0,112.301,-31.1689,116.546,0.0968362,0.691595,40.9088,-6.13763,41.3724,0.0136453,-0.119056,-0.428958,0.445383,104712,0.0620779,290.962,0.550168,32.7549,-4.91089,33.1255
3408,1.25196,262701,0,117.644,-31.158,121.7,0.104915,0.687882,43.4307,-9.42462,44.4468,0.0134671,-0.119015,-0.449365,0.465054,104712,0.0620779,291.39,0.547122,34.9916,-7.52601,35.796
3409,1.24791,263051,0,122.986,-31.2991,126.906,0.127124,0.616249,52.9082,-10.4388,53.9317,0.013291,-0.119554,-0.469773,0.484929,104712,0.0620779,292.337,0.491434,42.6802,-8.36526,43.495
3410,1.24439,263307,0,128.329,-31.3192,132.095,0.139274,0.62739,58.4922,-8.49876,59.1097,0.0131132,-0.119631,-0.49018,0.504738,104712,0.0620779,293.154,0.502881,47.1804,-6.81506,47.6728
3411,1.24419,263449,0,139.014,-31.2447,142.482,0.143799,0.676921,59.603,-11.5277,60.7113,0.0127559,-0.119346,-0.530995,0.544391,104712,0.0620779,293.238,0.539948,48.4199,-9.27477,49.3032
3412,1.24146,263357,0,155.042,-31.3114,158.172,0.142699,0.753623,60.0296,-6.77078,60.415,0.0122226,-0.119601,-0.592217,0.604297,104712,0.0620779,293.87,0.603951,48.69,-5.43233,48.9958
3413,1.23105,264668,0,171.07,-31.4286,173.933,0.197692,0.645694,83.2406,-9.87933,83.8273,0.0116899,-0.120049,-0.653439,0.664478,104712,0.0620779,296.327,0.523533,67.7373,-8.02118,68.2126
3414,1.32596,278023,0,169.265,-30.9825,172.077,0.0914993,1.10391,39.7703,-11.6445,41.4546,0.0117439,-0.118345,-0.646545,0.657392,110949,0.176414,291.49,0.832327,30.0237,-8.77113,31.2898
3415,1.32287,278324,0,171.07,-31.0506,173.865,0.104445,1.05516,45.0562,-12.0801,46.6595,0.0116847,-0.118604,-0.653439,0.664219,110949,0.176414,292.223,0.79411,34.4917,-9.11748,35.6853
3416,1.32283,278173,0,173.99,-30.9825,176.727,0.100939,1.09404,43.6034,-13.6241,45.6954,0.0115864,-0.118345,-0.664593,0.675147,110949,0.176414,292.186,0.826878,33.009,-10.3096,34.5914
3417,1.23105,264422,0,181.755,-31.3497,184.439,0.183653,0.760706,76.8368,-9.5835,77.4359,0.0113327,-0.119747,-0.694254,0.704597,104712,0.0620779,296.381,0.613609,62.9208,-7.79712,63.405
3418,1.31918,278408,0,184.938,-30.9825,187.516,0.11244,1.17203,50.2821,-8.36449,50.9865,0.0112214,-0.118345,-0.706412,0.716345,110949,0.176414,292.972,0.888748,38.0066,-6.3467,38.5431
3419,1.30749,279571,0,187.098,-31.1398,189.672,0.16356,0.993361,72.7296,-8.71456,73.2566,0.0111516,-0.118945,-0.714661,0.724578,110949,0.176414,295.672,0.755492,56.0311,-6.69296,56.4345
3420,1.2271,265190,0,191.081,-31.4441,193.651,0.215606,0.653703,90.4488,-13.4568,91.4467,0.0110231,-0.120108,-0.729876,0.739774,104712,0.0620779,297.251,0.532696,73.6806,-10.9914,74.4978
