Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
115,1.00721,0,80.4725,-0,1.67533e-07,0,0,0,0,0,0,0.000597992,-0.00429161,0,0.00433307,32.189,0.885929,0.00128358,-0.00453859,0,0.0047166,1.0067,0,0,0,0,0.586372
116,1.00761,0,80.503,-0,1.67531e-07,0,0,0,0,0,0,0.000469128,-0.00380577,0,0.00383458,32.2012,0.91033,0.00104567,-0.00418346,0,0.00431216,1.00668,0,0,0,0,0.567847
117,1.00795,0,80.5288,-0,1.67528e-07,0,0,0,0,0,0,0.000362954,-0.00335129,0,0.00337089,32.2115,0.930998,0.00083663,-0.0038127,0,0.00390341,1.00666,0,0,0,0,0.547607
118,1.00824,0,80.5504,-0,1.67525e-07,0,0,0,0,0,0,0.000276236,-0.00292672,0,0.00293973,32.2202,0.948281,0.00065602,-0.00343287,0,0.00349499,1.00664,0,0,0,0,0.525642
119,1.0085,0,80.5682,-0,1.67521e-07,0,0,0,0,0,0,0.000206114,-0.00253056,0,0.00253894,32.2273,0.96253,0.000502642,-0.00304961,0,0.00309076,1.00661,0,0,0,0,0.501874
120,1.00871,0,80.5827,-0,1.67517e-07,0,0,0,0,0,0,0.000150079,-0.0021613,0,0.0021665,32.2331,0.974103,0.000374716,-0.00266769,0,0.00269388,1.00658,0,0,0,0,0.476145
121,1.00888,0,80.5943,-0,1.67513e-07,0,0,0,0,0,0,0.00010594,-0.0018174,0,0.00182049,32.2377,0.983343,0.000270097,-0.00229093,0,0.0023068,1.00655,0,0,0,0,0.448181
122,1.00902,0,80.6033,-0,1.6751e-07,0,0,0,0,0,0,7.18033e-05,-0.00149738,0,0.0014991,32.2413,0.990573,0.000186461,-0.00192232,0,0.00193134,1.00652,0,0,0,0,0.417549
123,1.00914,0,80.6102,-0,1.67506e-07,0,0,0,0,0,0,4.60293e-05,-0.00119975,0,0.00120063,32.2441,0.996086,0.000121454,-0.00156419,0,0.0015689,1.00649,0,0,0,0,0.383574
124,1.00922,0,80.6153,-0,1.67503e-07,0,0,0,0,0,0,2.72128e-05,-0.000923102,0,0.000923503,32.2461,1.00014,7.27816e-05,-0.00121842,0,0.0012206,1.00647,0,0,0,0,0.345205
125,1.00929,0,80.6188,-0,1.67501e-07,0,0,0,0,0,0,1.41506e-05,-0.000666073,0,0.000666223,32.2475,1.00298,3.82708e-05,-0.000886808,0,0.000887633,1.00645,0,0,0,0,0.300696
126,1.00933,0,80.621,-0,1.67499e-07,0,0,0,0,0,0,5.81861e-06,-0.000427359,0,0.000427399,32.2484,1.00476,1.59055e-05,-0.000571869,0,0.000572091,1.00644,0,0,0,0,0.246866
127,1.00935,0,80.6218,-0,1.67498e-07,0,0,0,0,0,0,1.34692e-06,-0.000205725,0,0.000205729,32.2487,1.00541,3.77912e-06,-0.000277565,0,0.000277591,1.00643,0,0,0,0,0.17606
128,1.00935,0,80.6224,-0,1.67498e-07,0,0,0,0,0,0,0,0,0,0,32.249,1.00589,-8.89385e-21,-9.73866e-08,0,9.73866e-08,1.00643,0,0,0,0,0.00336975
129,1.00935,0,80.6218,-0,1.67498e-07,0,0,0,0,0,0,1.34692e-06,0.000205725,0,0.000205729,32.2487,1.00541,3.77645e-06,0.000277369,0,0.000277395,1.00643,0,0,0,0,0.175998
130,1.00933,0,80.621,-0,1.67499e-07,0,0,0,0,0,0,5.81861e-06,0.000427359,0,0.000427399,32.2484,1.00476,1.59e-05,0.000571674,0,0.000571895,1.00644,0,0,0,0,0.246824
