Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.97436,0,0,0,77.52,0,31.008,1.0025,0,-1.476,0,0,0,1.67E-07,-0.014735,0.016218,0,0,1.1276,0,0.0056425,-0.012889,0
0.96897,0,0,0,77.068,0,30.827,1.0021,0,-1.8377,0,0,0,1.67E-07,-0.015825,0.018898,0,0,1.1997,0,0.0048446,-0.011973,0
0.96324,0,0,0,76.589,0,30.635,1.0018,0,-2.2212,0,0,0,1.67E-07,-0.016781,0.021792,0,0,1.2714,0,0.004138,-0.011092,0
0.95722,0,0,0,76.087,0,30.435,1.0015,0,-2.6222,0,0,0,1.67E-07,-0.017567,0.024866,0,0,1.3425,0,0.0035153,-0.010247,0
0.95099,0,0,0,75.57,0,30.228,1.0013,0,-3.0362,0,0,0,1.67E-07,-0.018152,0.028078,0,0,1.4123,0,0.0029694,-0.0094379,0
0.94463,0,0,0,75.043,0,30.017,1.001,0,-3.4576,0,0,0,1.67E-07,-0.018514,0.03138,0,0,1.4807,0,0.0024934,-0.008666,0
0.93822,0,0,0,74.514,0,29.805,1.0007,0,-3.8811,0,0,0,1.67E-07,-0.018638,0.034714,0,0,1.5471,0,0.0020806,-0.0079314,0
0.93186,0,0,0,73.989,0,29.595,1.0004,0,-4.3012,0,0,0,1.67E-07,-0.01852,0.038021,0,0,1.6113,0,0.0017246,-0.0072341,0
0.92561,0,0,0,73.474,0,29.39,1.0002,0,-4.7129,0,0,0,1.67E-07,-0.01817,0.041254,0,0,1.6734,0,0.0014194,-0.0065739,0
0.91955,0,0,0,72.975,0,29.19,0.99994,0,-5.1117,0,0,0,1.67E-07,-0.017609,0.044376,0,0,1.7335,0,0.0011592,-0.0059503,0
0.91373,0,0,0,72.498,0,28.999,0.99972,0,-5.4938,0,0,0,1.67E-07,-0.016863,0.047355,0,0,1.7919,0,0.00093876,-0.0053627,0
0.9082,0,0,0,72.045,0,28.818,0.99952,0,-5.8564,0,0,0,1.67E-07,-0.015961,0.050167,0,0,1.8488,0,0.00075319,-0.0048102,0
0.90299,0,0,0,71.618,0,28.647,0.99933,0,-6.1976,0,0,0,1.67E-07,-0.014932,0.052798,0,0,1.9045,0,0.00059799,-0.0042916,0
