Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
112,0.729305,2.23577,1.17968,0.925988,0.238672,0,0.956252,0.03844,0.0273085,0,0.0471528,0.643544,-0.79566,0.882407,1.26969,0.32726,0,1.31118
113,0.72195,2.21594,1.19124,0.929907,0.212327,0,0.95384,0.04474,0.0288345,0,0.0532268,0.634335,-0.816216,0.878641,1.28805,0.294102,0,1.3212
114,0.716751,2.2019,1.19942,0.932866,0.19004,0,0.952026,0.05149,0.0302882,0,0.0597377,0.627853,-0.830684,0.875971,1.30152,0.265141,0,1.32825
115,0.713492,2.19309,1.20461,0.935352,0.171121,0,0.950876,0.05869,0.0316763,0,0.0666926,0.623789,-0.839756,0.874277,1.31095,0.239836,0,1.33271
116,0.711974,2.18899,1.20702,0.937603,0.154968,0,0.950323,0.06633,0.0330031,0,0.0740869,0.621902,-0.843969,0.87349,1.31691,0.21766,0,1.33477
117,0.711849,2.18864,1.20718,0.939721,0.141093,0,0.950254,0.0744,0.0342729,0,0.0819145,0.621756,-0.844295,0.873438,1.32011,0.198206,0,1.33491
118,0.712733,2.19105,1.20583,0.941801,0.129116,0,0.950611,0.0829,0.035491,0,0.0901777,0.622843,-0.841869,0.873879,1.32139,0.181156,0,1.33375
119,0.714094,2.19476,1.2038,0.943748,0.118689,0,0.951182,0.09181,0.0366597,0,0.0988585,0.624506,-0.838157,0.874542,1.3216,0.166209,0,1.33201
120,0.71543,2.1984,1.20181,0.945417,0.109543,0,0.951742,0.10113,0.0377837,0,0.107958,0.626138,-0.834514,0.875191,1.32147,0.153115,0,1.33031
121,0.716781,2.20209,1.19987,0.946919,0.101478,0,0.952341,0.11085,0.0388658,0,0.117466,0.627775,-0.83086,0.875825,1.32107,0.141574,0,1.32864
